X,Y,Z,lith
262.5,0.8333333,610.865,3.0
262.5,0.8333333,635.97046,3.0
262.5,0.8333333,661.0759,3.0
262.5,0.8333333,686.18146,3.0
262.5,0.8333333,711.2869,3.0
262.5,0.8333333,736.3924,3.0
262.5,0.8333333,761.49786,3.0
262.5,0.8333333,786.6034,3.0
262.5,66.94444,610.865,3.0
262.5,66.94444,635.97046,3.0
262.5,66.94444,661.0759,3.0
262.5,66.94444,686.18146,3.0
262.5,66.94444,711.2869,3.0
262.5,66.94444,736.3924,3.0
262.5,66.94444,761.49786,3.0
262.5,66.94444,786.6034,3.0
262.5,133.05556,610.865,3.0
262.5,133.05556,635.97046,3.0
262.5,133.05556,661.0759,3.0
262.5,133.05556,686.18146,3.0
262.5,133.05556,711.2869,3.0
262.5,133.05556,736.3924,3.0
262.5,133.05556,761.49786,3.0
262.5,133.05556,786.6034,3.0
262.5,199.16667,610.865,3.0
262.5,199.16667,635.97046,3.0
262.5,199.16667,661.0759,3.0
262.5,199.16667,686.18146,3.0
262.5,199.16667,711.2869,3.0
262.5,199.16667,736.3924,3.0
262.5,199.16667,761.49786,3.0
262.5,199.16667,786.6034,3.0
287.5,0.8333333,635.97046,3.0
287.5,0.8333333,661.0759,3.0
287.5,0.8333333,686.18146,3.0
287.5,0.8333333,711.2869,3.0
287.5,0.8333333,736.3924,3.0
287.5,0.8333333,761.49786,3.0
287.5,0.8333333,786.6034,3.0
287.5,0.8333333,811.70886,3.0
287.5,66.94444,635.97046,3.0
287.5,66.94444,661.0759,3.0
287.5,66.94444,686.18146,3.0
287.5,66.94444,711.2869,3.0
287.5,66.94444,736.3924,3.0
287.5,66.94444,761.49786,3.0
287.5,66.94444,786.6034,3.0
287.5,66.94444,811.70886,3.0
287.5,133.05556,635.97046,3.0
287.5,133.05556,661.0759,3.0
287.5,133.05556,686.18146,3.0
287.5,133.05556,711.2869,3.0
287.5,133.05556,736.3924,3.0
287.5,133.05556,761.49786,3.0
287.5,133.05556,786.6034,3.0
287.5,133.05556,811.70886,3.0
287.5,199.16667,635.97046,3.0
287.5,199.16667,661.0759,3.0
287.5,199.16667,686.18146,3.0
287.5,199.16667,711.2869,3.0
287.5,199.16667,736.3924,3.0
287.5,199.16667,761.49786,3.0
287.5,199.16667,786.6034,3.0
287.5,199.16667,811.70886,3.0
312.5,0.8333333,635.97046,3.0
312.5,0.8333333,661.0759,3.0
312.5,0.8333333,686.18146,3.0
312.5,0.8333333,711.2869,3.0
312.5,0.8333333,736.3924,3.0
312.5,0.8333333,761.49786,3.0
312.5,0.8333333,786.6034,3.0
312.5,0.8333333,811.70886,3.0
312.5,66.94444,635.97046,3.0
312.5,66.94444,661.0759,3.0
312.5,66.94444,686.18146,3.0
312.5,66.94444,711.2869,3.0
312.5,66.94444,736.3924,3.0
312.5,66.94444,761.49786,3.0
312.5,66.94444,786.6034,3.0
312.5,66.94444,811.70886,3.0
312.5,133.05556,661.0759,3.0
312.5,133.05556,686.18146,3.0
312.5,133.05556,711.2869,3.0
312.5,133.05556,736.3924,3.0
312.5,133.05556,761.49786,3.0
312.5,133.05556,786.6034,3.0
312.5,133.05556,811.70886,3.0
312.5,199.16667,661.0759,3.0
312.5,199.16667,686.18146,3.0
312.5,199.16667,711.2869,3.0
312.5,199.16667,736.3924,3.0
