Unnamed: 0,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
154,-0.15202417256684458,0.10449602017504676,0.982837337875878,792055.6278526665,6350018.925240668,335.64735133333346,305.0,0.0,10.630484480046325,Liassic,158.0,666.0,2.0,1
155,-0.03758434453425332,-0.2131514098640705,0.9762960071202226,791527.9905000002,6349481.8085,314.896787,190.0,0.0,12.499999999923439,Liassic,161.0,666.0,2.0,1
156,-0.2109328187790975,0.0580782542114238,0.9757736737326221,788978.0996666667,6345629.037666667,278.5782473333333,285.0,0.0,12.637527438437159,Liassic,162.0,666.0,2.0,1
157,-0.342020143325,9.999371719189999e-13,0.9396926207870001,788703.5240000002,6346234.429,328.617447,270.0,0.0,19.99999999983248,Liassic,163.0,9999.0,1.0,1
158,0.469846310394,-0.171010071662,0.866025403785,789215.7440000002,6352337.102000001,245.04733199999998,110.0,0.0,29.999999999885407,Liassic,168.0,9999.0,1.0,1
159,0.469846310394,-0.171010071662,0.866025403785,789980.14,6352983.004,220.54843599999998,110.0,0.0,29.999999999885407,Liassic,169.0,9999.0,1.0,1
160,0.469846310394,0.171010071664,0.866025403785,789796.057,6352795.328,226.070001,70.0,0.0,29.999999999885407,Liassic,171.0,9999.0,1.0,1
161,0.18009210948750282,0.008970480035558785,0.9836088463349,787871.8555,6352605.436500002,513.858459,87.0,0.0,10.388130517101528,Liassic,173.0,666.0,2.0,1
162,0.08631546363446248,0.06623218472685954,0.9940638502852194,787011.6565,6352572.3925,498.49460850000014,52.0,0.0,6.2460452141487375,Liassic,174.0,666.0,2.0,1
163,-0.3063558746295941,0.2274604099540429,0.9243418415193998,786908.6325000002,6352632.635500001,502.61538550000006,307.0,0.0,22.430681342537977,Liassic,175.0,666.0,2.0,1
164,0.200827271749,-0.053811505281999995,0.9781476007340001,787427.9975,6351940.398000003,610.5773144999999,105.0,0.0,12.000000000027676,Liassic,177.0,730.177498425,2.0,1
165,0.10609904662795562,-0.08937116378986032,0.9903311503671308,792828.8365,6349592.76,275.4485555,130.0,0.0,7.9739880899101925,Liassic,184.0,666.0,2.0,1
166,-0.3097150468836247,-0.04400606904064441,0.949810536697432,791711.6320039999,6350137.362475,383.593137,262.0,0.0,18.22960556643591,Liassic,185.0,666.0,2.0,1
